state,postal,code
Alabama,AL,1
Alaska,AK,1
Arizona,AZ,3
Arkansas,AR,3
California,CA,4
Colorado,CO,3
Connecticut,CT,1
Delaware,DE,1
Florida,FL,1
Georgia,GA,1
Hawaii,HI,1
Idaho,ID,3
Illinois,IA,1
Indiana,IN,1
Iowa,IA,1
Kansas,KS,1
Kentucky,KY,1
Louisiana,LA,3
Maine,MA,3
Maryland,MD,1
Massachusetts,MA,1
Michigan,MI,3
Minnesota,MN,3
Mississippi,MS,4
Missouri,MO,1
Montana,MT,1
Nebraska,NE,1
Nevada,NV,1
New Hampshire,NH,1
New Jersey,NJ,1
New Mexico,NM,1
New York,NY,1
North Carolina,NC,1
North Dakota,ND,3
Ohio,OH,3
Oklahoma,OK,3
Oregon,OR,3
Pennsylvania,PA,1
Rhode Island,RI,1
South Carolina,SC,1
South Dakota,SD,1
Tennessee,TN,1
Texas,TX,3
Utah,UT,3
Vermont,VT,1
Virginia,VA,1
West Virginia,WV,4
Wisconsin,WI,3
Wyoming,WY,1
